% ARFF file for australian
% Generated on 13 July 2009 21:44:24 BST
%
@relation australian
 #for all the categorical tranformations.
 #for all the categorical tranformations, An extra bit is also added for part 2 : A2,A3,A5,A7,A10,A13 and A14
@attribute A1 {0,1}
@attribute A2 {1,2,3}
#A2 (<25, 25 >= x < 50, >= 40)
@attribute A3 {1,2,3}
#A3 (<4, 4 >= x < 8, >= 8).
@attribute A4 {1,2,3}
@attribute A5 {1,10,11,12,13,14,2,3,4,5,6,7,8,9}
@attribute A6 {1,2,3,4,5,6,7,8,9}
@attribute A7 {1,2,3,4}
#A7 (<1, 1 >= x < 5, 5 >= x < 10, >= 10).
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A10 {1,2,3}
#A10 (0.0, 0.0 > x < 10, >= 10).
@attribute A11 {0,1}
@attribute A12 {1,2,3}
@attribute A13 {1,2,3,4,5,6}
#A13 (100<, 100 >= x < 200, 200 >= x < 300, 300 >= x < 400, 400 >= x < 500, >= 500).
@attribute A14 {1,2,3,4}
#A14 (100 <, 100 >= x < 1000, 1000 >= x < 10000, > 10000).
@attribute Class {0,1}

@data
1,2,1,2,9,4,2,1,0,1,1,2,3,1,0
0,2,1,2,11,8,2,1,1,2,0,2,4,4,1
1,2,2,1,13,4,2,0,0,1,1,2,2,1,0
0,2,3,2,11,8,1,0,1,3,1,2,2,1,0
1,2,1,2,9,4,2,1,1,2,1,2,2,1,1
1,3,3,2,10,9,1,1,1,3,0,2,2,4,0
1,1,1,2,8,4,2,1,1,2,1,2,4,4,1
1,1,3,2,9,4,1,1,0,1,1,2,3,1,0
1,2,2,2,11,8,6,1,1,3,1,2,5,4,1
1,2,1,2,8,4,2,1,1,3,0,2,1,4,1
1,1,1,2,4,4,1,0,0,1,1,2,3,1,0
1,2,1,2,14,4,2,1,0,1,0,2,6,4,1
1,2,1,2,3,4,1,0,0,1,1,2,3,1,0
1,2,3,2,13,4,1,0,0,1,0,2,1,1,0
1,2,1,2,8,8,2,1,0,1,0,2,3,4,1
1,1,1,2,11,4,1,0,0,1,0,2,3,1,0
1,1,1,2,11,4,2,1,1,2,1,2,1,1,1
1,3,1,2,14,8,1,1,0,1,0,2,1,4,1
1,3,2,2,10,9,1,0,0,1,0,2,1,1,0
1,2,1,2,7,4,2,0,0,1,1,1,5,1,0
0,1,1,2,6,4,1,0,0,1,0,2,3,1,0
1,2,1,2,9,4,1,0,1,2,0,2,4,4,0
1,2,2,2,6,4,2,1,0,1,1,2,3,1,0
0,3,1,2,8,4,1,0,0,1,0,3,2,1,1
1,2,1,2,3,8,6,1,0,1,0,2,5,1,1
0,1,3,1,11,4,2,1,0,1,1,2,3,1,0
1,1,1,2,10,2,1,0,1,2,0,2,4,4,0
1,2,1,2,3,8,6,1,0,1,1,2,4,1,1
0,1,3,2,14,8,1,1,1,2,1,2,4,4,1
1,2,1,2,3,5,1,0,0,1,1,2,5,4,0
1,1,3,2,3,4,2,1,1,2,0,2,1,4,1
1,2,1,2,4,4,1,0,1,2,1,2,2,1,0
0,1,3,2,6,4,2,1,0,1,1,2,1,1,1
1,1,1,2,11,4,2,0,0,1,0,2,2,1,0
1,2,3,2,2,4,2,1,1,2,0,2,3,4,1
0,3,1,2,1,1,6,0,1,2,0,2,1,1,0
1,3,1,2,11,4,1,1,0,1,1,2,3,1,1
0,3,3,2,1,1,1,1,1,3,1,2,1,4,1
1,2,1,1,3,5,1,1,1,3,1,2,2,1,0
1,2,2,2,11,8,6,1,0,1,1,2,4,1,1
0,1,3,1,4,8,2,0,0,1,1,2,1,1,0
1,1,3,2,8,4,2,1,1,2,1,2,1,1,1
1,2,2,2,9,8,6,1,1,3,0,2,1,4,1
1,1,1,2,11,4,2,1,1,2,1,2,1,4,1
1,2,3,1,1,1,1,0,1,2,0,2,2,1,0
1,2,1,1,13,4,1,0,0,1,0,2,2,1,0
1,1,1,1,9,4,2,1,1,2,1,2,3,4,0
1,1,1,1,4,4,1,0,0,1,0,1,3,1,0
0,1,3,2,8,4,1,0,0,1,0,2,1,4,0
0,3,3,2,11,4,6,1,0,1,1,2,1,4,1
1,2,2,1,6,4,6,1,0,1,0,2,1,1,0
0,2,3,2,13,8,2,1,1,2,0,2,5,4,1
1,1,3,2,8,4,1,1,0,1,0,2,2,1,0
1,1,1,2,8,4,1,0,0,1,0,3,2,1,0
0,2,3,1,1,1,2,0,1,2,1,2,3,1,0
1,2,2,2,11,4,2,1,0,1,0,1,1,1,1
1,2,1,1,8,4,2,1,1,2,1,2,2,4,1
1,3,2,2,7,4,6,1,1,2,1,2,4,4,1
1,3,3,2,1,1,6,1,1,2,0,2,1,4,1
1,3,3,2,3,5,1,1,1,3,0,2,1,4,1
1,2,1,2,7,4,1,1,0,1,0,1,3,1,0
1,2,1,1,6,4,2,1,1,2,1,2,4,4,1
1,2,2,2,13,4,2,1,1,2,0,2,4,4,1
1,3,1,1,1,1,2,0,0,1,0,2,2,1,0
0,2,3,1,6,4,2,1,0,1,0,2,2,1,0
1,2,1,1,8,4,1,0,0,1,0,2,3,1,0
0,2,1,2,13,4,1,0,0,1,0,2,4,1,1
1,2,1,2,8,5,1,1,0,1,0,2,4,1,1
0,2,1,2,8,4,2,1,1,2,1,2,4,4,1
0,1,1,3,13,1,6,0,0,1,1,1,4,1,1
1,1,2,2,8,4,2,1,1,2,0,2,3,4,1
1,1,3,3,1,7,1,0,0,1,1,3,5,4,1
1,1,2,1,7,4,1,0,0,1,0,2,2,1,0
1,2,1,2,7,5,2,1,1,3,1,2,5,4,1
1,3,3,2,10,8,6,1,1,2,0,2,1,1,1
1,1,2,1,9,4,2,1,1,2,1,2,2,4,1
1,1,3,2,11,4,2,1,0,1,1,2,1,4,1
0,1,3,2,4,8,1,0,0,1,0,2,4,1,0
1,1,3,2,9,8,1,0,1,2,0,2,2,1,0
1,2,1,1,9,4,2,0,0,1,0,1,3,1,0
1,2,1,2,9,4,2,1,1,2,1,2,4,1,0
1,1,1,1,12,7,1,0,0,1,1,2,2,1,0
1,1,3,2,8,8,2,0,0,1,0,2,4,1,0
1,2,1,2,9,4,1,0,0,1,1,2,4,1,0
0,2,3,2,11,4,6,1,1,2,1,2,1,1,1
1,1,3,2,3,4,1,0,0,1,0,2,1,1,0
0,2,1,2,2,4,2,1,0,1,1,2,4,1,0
0,1,2,2,4,4,2,1,1,2,0,2,2,4,1
0,1,1,2,3,5,1,1,1,2,0,1,1,1,1
1,2,2,2,13,4,2,1,1,2,1,2,2,1,1
0,2,1,2,1,1,1,0,0,1,0,2,4,1,0
1,2,1,2,9,4,6,1,1,2,1,2,6,4,1
0,1,3,2,9,4,2,0,1,2,0,2,2,1,0
0,2,1,2,11,4,2,1,1,2,1,2,2,4,0
0,1,2,2,6,4,2,1,1,2,0,2,1,4,1
1,1,3,2,14,4,1,1,1,2,0,2,2,1,1
1,1,1,2,8,4,1,0,0,1,0,2,4,1,0
1,2,3,1,9,8,6,1,0,1,1,2,2,1,1
0,2,1,2,11,4,1,0,0,1,1,2,3,1,0
0,1,1,1,1,1,1,0,0,1,0,2,2,1,0
0,1,1,2,8,4,2,0,1,2,1,2,1,1,0
1,2,1,1,9,4,6,0,0,1,1,2,3,1,0
0,1,1,2,11,4,1,0,0,1,0,1,2,1,0
1,2,1,2,7,4,2,0,0,1,0,1,1,1,0
1,2,1,2,9,8,1,1,1,2,0,2,3,4,1
1,2,1,2,6,4,6,1,0,1,1,2,6,1,0
0,1,1,2,11,4,2,1,1,2,0,2,3,4,1
1,2,1,2,3,5,1,0,0,1,0,2,2,1,0
1,1,1,2,8,8,2,0,0,1,1,2,2,1,1
0,2,3,2,11,8,6,1,1,2,0,2,1,4,1
1,2,2,2,13,8,6,1,1,2,0,2,4,4,1
0,1,1,2,3,4,1,0,0,1,0,2,2,1,0
1,2,3,2,3,5,1,0,0,1,1,2,2,1,0
1,2,1,2,7,4,2,1,1,2,1,2,1,1,1
1,2,1,1,8,4,1,0,0,1,0,2,2,4,0
1,2,2,2,11,8,6,1,1,2,1,2,4,1,0
1,1,1,1,8,4,1,0,0,1,0,2,2,4,0
1,2,1,2,1,1,1,0,0,1,0,2,3,1,0
1,1,1,2,7,4,1,0,0,1,0,1,1,1,0
0,2,1,1,3,8,1,0,0,1,1,2,2,1,0
1,2,3,1,2,4,2,1,0,1,0,1,1,1,0
1,3,1,2,9,4,2,1,1,2,1,2,1,1,1
1,2,1,2,7,4,1,1,1,2,0,2,3,4,1
0,2,1,2,6,4,1,0,0,1,0,2,3,4,0
1,2,3,2,1,1,1,1,1,2,0,2,1,1,0
0,2,1,1,1,1,1,1,0,1,0,2,4,1,0
1,1,2,1,3,4,2,0,0,1,1,2,4,4,0
0,1,1,1,8,4,1,0,0,1,0,2,2,1,0
1,1,1,2,8,8,2,1,0,1,0,2,5,4,1
1,3,3,2,1,1,2,0,1,2,0,2,1,1,0
1,2,1,2,8,5,6,1,1,3,0,2,1,4,1
0,2,1,1,8,4,2,0,0,1,1,2,1,1,0
1,2,1,2,11,8,6,1,1,3,0,2,1,1,1
1,1,1,1,6,4,1,1,0,1,0,2,2,1,0
1,2,1,2,13,5,1,0,0,1,0,2,4,1,0
1,3,3,2,2,5,6,1,1,3,1,2,1,1,1
0,2,2,2,11,4,6,1,1,2,1,2,1,1,1
0,2,1,2,8,4,2,1,0,1,0,2,1,1,1
1,2,1,2,9,5,1,1,0,1,1,2,2,1,0
0,2,2,2,4,8,2,0,0,1,1,1,3,1,0
1,2,1,1,7,4,1,0,0,1,1,1,1,1,0
1,2,1,2,11,8,1,0,0,1,1,2,3,4,0
1,1,2,2,7,4,1,0,1,2,0,2,2,1,0
0,2,1,2,3,5,2,1,0,1,1,2,1,4,1
0,1,1,2,9,4,1,0,0,1,1,2,2,1,0
1,2,1,2,14,4,2,1,1,2,1,2,4,4,1
0,1,3,2,14,8,2,1,1,3,0,2,1,4,1
0,2,1,1,13,4,2,0,0,1,1,2,3,4,0
0,3,2,2,6,8,2,0,0,1,0,2,1,1,0
0,2,1,2,11,4,2,1,1,2,0,2,3,1,0
1,2,1,2,3,5,1,0,0,1,0,1,4,1,0
1,1,1,1,13,8,1,0,0,1,0,2,3,1,0
1,3,3,2,4,8,6,1,0,1,1,2,1,4,1
0,2,1,1,14,8,2,1,1,2,0,2,1,1,1
1,2,2,2,7,4,2,1,0,1,1,2,4,1,1
1,1,1,1,8,8,1,0,0,1,0,2,3,4,0
1,2,3,2,8,4,2,1,1,3,1,2,1,4,1
1,2,3,2,11,8,1,1,1,2,0,2,6,1,0
0,2,2,2,4,4,2,1,0,1,1,2,1,1,1
1,2,1,2,9,4,1,1,0,1,1,2,5,4,1
1,2,1,1,14,8,1,0,0,1,0,2,2,1,0
1,2,1,2,13,4,1,0,0,1,1,2,1,4,0
1,2,3,2,8,4,6,1,1,3,0,2,1,4,1
1,2,1,2,1,1,1,0,0,1,0,2,1,4,0
1,1,1,2,8,4,2,1,1,3,1,2,3,4,1
1,2,2,2,9,4,6,0,0,1,0,2,5,4,0
1,1,2,1,3,5,1,0,0,1,1,2,2,1,0
1,1,3,1,8,4,2,1,0,1,0,1,1,1,1
1,2,1,2,9,4,1,1,0,1,1,2,3,4,1
1,1,1,2,7,4,1,0,1,2,0,2,3,4,0
1,2,2,2,7,8,2,1,1,3,1,2,1,1,1
0,1,3,2,3,4,1,0,0,1,0,2,3,4,0
1,2,1,2,11,8,6,1,0,1,1,2,2,4,1
1,1,3,2,14,4,1,1,1,2,0,2,1,4,1
0,2,3,2,11,8,6,1,1,2,0,2,1,4,1
0,2,1,2,13,8,1,1,1,3,1,2,5,1,1
0,3,1,1,1,1,1,0,0,1,0,2,1,1,0
1,2,1,1,3,8,6,0,0,1,1,1,3,1,0
1,2,1,2,8,4,2,1,1,3,0,2,2,4,1
0,2,1,2,9,4,1,0,0,1,1,2,2,1,0
1,1,3,2,9,4,2,1,0,1,0,2,2,4,1
1,2,2,2,8,5,6,1,1,3,0,2,2,4,1
1,2,1,1,2,4,1,0,0,1,0,2,3,1,0
1,2,1,2,3,5,1,1,0,1,1,2,1,1,1
1,2,1,1,7,4,1,0,0,1,0,1,5,1,0
1,2,1,2,8,8,1,1,1,2,0,2,3,4,1
1,1,2,2,6,4,2,1,1,2,0,2,1,4,1
0,1,1,2,8,4,1,0,0,1,0,2,1,1,0
0,2,1,2,7,4,2,0,1,2,1,2,3,1,0
1,1,1,1,13,4,1,0,0,1,0,2,2,1,0
1,2,2,2,14,4,2,1,1,2,0,2,5,1,1
1,2,1,2,3,5,1,0,0,1,1,2,6,4,0
0,1,3,2,11,4,2,1,1,2,0,2,1,4,1
0,1,2,2,11,4,2,1,1,3,0,2,2,4,1
1,1,1,2,8,4,1,0,0,1,1,2,2,1,0
1,2,2,2,9,4,6,1,0,1,1,2,1,1,1
1,2,1,1,6,4,2,1,0,1,0,2,2,1,0
0,2,1,2,11,4,2,1,0,1,1,2,5,1,0
1,1,1,1,8,4,1,0,0,1,0,2,2,4,0
0,1,1,1,1,1,1,1,1,2,0,2,2,4,0
1,1,1,2,7,4,2,0,0,1,1,2,2,1,0
1,2,1,1,10,8,1,1,0,1,1,2,4,1,1
1,2,1,2,3,5,2,0,0,1,0,2,2,1,0
0,2,1,2,9,4,1,1,0,1,0,1,3,1,1
1,2,1,2,9,4,1,0,1,2,0,2,3,4,0
1,1,3,2,1,1,1,0,0,1,0,2,1,1,0
1,1,1,1,4,4,2,1,1,2,0,2,2,1,0
1,1,1,2,8,4,1,0,0,1,0,2,2,1,0
1,1,2,2,3,8,1,0,0,1,1,2,2,1,0
1,2,1,2,2,4,1,0,0,1,1,2,1,1,0
1,2,1,2,6,4,2,1,0,1,0,1,3,1,1
1,1,1,2,1,1,2,0,0,1,0,2,2,1,0
0,2,1,1,11,8,1,1,1,3,1,2,5,4,1
1,2,3,2,14,8,2,1,1,2,1,2,6,4,1
1,1,3,2,8,4,2,0,0,1,0,1,1,1,0
1,1,2,2,11,4,1,1,1,2,0,2,1,1,0
1,2,1,2,2,8,1,0,0,1,1,1,3,1,0
0,1,1,2,8,4,1,1,1,2,1,2,2,1,0
1,2,1,2,13,4,2,0,0,1,0,2,2,1,0
1,2,1,1,8,4,2,1,0,1,1,2,1,4,0
1,2,3,2,11,8,6,1,1,2,0,2,4,4,1
1,2,1,2,11,4,2,1,0,1,1,2,3,1,1
1,1,1,1,4,4,1,0,1,2,1,2,3,1,0
1,2,3,2,10,2,1,0,0,1,1,2,2,4,0
1,3,2,2,8,8,2,1,1,3,1,2,1,4,1
1,2,1,2,2,4,1,1,0,1,1,1,6,1,0
0,2,3,2,2,4,2,0,0,1,1,2,2,4,0
1,2,1,1,14,4,2,1,1,2,1,2,4,1,1
1,2,1,2,8,4,2,0,0,1,0,2,1,4,0
0,1,1,1,5,1,1,0,0,1,0,2,1,1,0
1,1,1,2,8,4,1,0,0,1,0,2,2,1,1
1,2,1,1,13,4,6,1,1,2,0,2,3,1,1
0,1,1,2,3,4,1,0,0,1,1,1,2,1,0
1,2,1,1,6,4,1,1,1,2,0,2,3,4,1
0,2,3,2,6,4,2,1,0,1,0,2,2,4,1
1,1,1,2,2,4,1,0,0,1,0,2,2,1,0
1,2,2,1,3,4,1,0,0,1,1,2,5,1,0
1,2,2,1,8,5,2,0,0,1,0,2,3,4,0
0,1,1,2,1,1,1,1,0,1,0,2,1,1,0
0,2,1,2,8,4,1,0,0,1,1,2,4,4,0
1,1,2,2,8,4,1,0,0,1,0,1,1,1,0
0,2,2,2,11,4,1,1,0,1,1,2,3,1,1
1,1,1,1,8,8,2,1,0,1,0,2,1,1,1
0,1,3,2,1,1,1,0,0,1,0,2,1,1,0
1,1,3,2,11,8,2,1,0,1,1,2,2,1,1
0,2,1,2,8,8,1,1,0,1,1,2,5,1,1
1,2,3,1,4,8,2,0,0,1,1,2,1,1,0
0,1,2,2,6,4,1,0,0,1,0,2,3,4,0
1,1,1,2,7,4,1,1,0,1,1,1,4,1,0
1,2,1,1,8,4,2,0,0,1,1,2,2,1,0
1,2,1,1,4,4,1,1,1,3,0,2,4,4,1
1,1,1,2,8,4,1,0,0,1,1,1,1,1,0
1,2,3,1,8,4,2,1,0,1,0,2,1,1,0
0,1,3,2,13,4,1,1,0,1,0,2,1,4,1
0,2,1,2,3,7,1,0,0,1,0,2,1,4,0
1,2,1,1,13,8,2,1,1,2,0,2,2,4,1
1,2,3,2,14,4,6,1,0,1,0,2,1,1,1
1,1,1,2,8,4,1,0,0,1,0,2,1,1,0
0,1,3,2,6,4,1,1,0,1,0,2,2,1,1
0,2,3,2,14,8,2,1,1,2,0,2,2,1,1
1,2,1,2,10,4,1,0,1,2,0,1,6,1,1
